id,segment,region,channel,product,quantity,price,revenue,discount,created_at
836,SMB,South,Retail,Product_09,17,62,1052,2,2026-04-25
837,Enterprise,East,Web,Product_10,18,79,1413,9,2026-04-26
838,MidMarket,West,Partner,Product_11,19,96,1808,16,2026-04-27
839,Startup,Central,Retail,Product_12,20,113,2237,23,2026-04-28
840,SMB,North,Web,Product_01,1,130,130,0,2026-04-01
841,Enterprise,South,Partner,Product_02,2,147,287,7,2026-04-02
842,MidMarket,East,Retail,Product_03,3,164,478,14,2026-04-03
843,Startup,West,Web,Product_04,4,181,703,21,2026-04-04
844,SMB,Central,Partner,Product_05,5,198,962,28,2026-04-05
845,Enterprise,North,Retail,Product_06,6,215,1285,5,2026-04-06
846,MidMarket,South,Web,Product_07,7,232,1612,12,2026-04-07
847,Startup,East,Partner,Product_08,8,249,1973,19,2026-04-08
848,SMB,West,Retail,Product_09,9,26,208,26,2026-04-09
849,Enterprise,Central,Web,Product_10,10,43,427,3,2026-04-10
850,MidMarket,North,Partner,Product_11,11,60,650,10,2026-04-11
851,Startup,South,Retail,Product_12,12,77,907,17,2026-04-12
852,SMB,East,Web,Product_01,13,94,1198,24,2026-04-13
853,Enterprise,West,Partner,Product_02,14,111,1553,1,2026-04-14
854,MidMarket,Central,Retail,Product_03,15,128,1912,8,2026-04-15
855,Startup,North,Web,Product_04,16,145,2305,15,2026-04-16
856,SMB,South,Partner,Product_05,17,162,2732,22,2026-04-17
857,Enterprise,East,Retail,Product_06,18,179,3193,29,2026-04-18
858,MidMarket,West,Web,Product_07,19,196,3718,6,2026-04-19
859,Startup,Central,Partner,Product_08,20,213,4247,13,2026-04-20
860,SMB,North,Retail,Product_09,1,230,210,20,2026-04-21
861,Enterprise,South,Web,Product_10,2,247,467,27,2026-04-22
862,MidMarket,East,Partner,Product_11,3,24,68,4,2026-04-23
863,Startup,West,Retail,Product_12,4,41,153,11,2026-04-24
864,SMB,Central,Web,Product_01,5,58,272,18,2026-04-25
865,Enterprise,North,Partner,Product_02,6,75,425,25,2026-04-26
866,MidMarket,South,Retail,Product_03,7,92,642,2,2026-04-27
867,Startup,East,Web,Product_04,8,109,863,9,2026-04-28
868,SMB,West,Partner,Product_05,9,126,1118,16,2026-04-01
869,Enterprise,Central,Retail,Product_06,10,143,1407,23,2026-04-02
870,MidMarket,North,Web,Product_07,11,160,1760,0,2026-04-03
871,Startup,South,Partner,Product_08,12,177,2117,7,2026-04-04
872,SMB,East,Retail,Product_09,13,194,2508,14,2026-04-05
873,Enterprise,West,Web,Product_10,14,211,2933,21,2026-04-06
874,MidMarket,Central,Partner,Product_11,15,228,3392,28,2026-04-07
875,Startup,North,Retail,Product_12,16,245,3915,5,2026-04-08
876,SMB,South,Web,Product_01,17,22,362,12,2026-04-09
877,Enterprise,East,Partner,Product_02,18,39,683,19,2026-04-10
878,MidMarket,West,Retail,Product_03,19,56,1038,26,2026-04-11
879,Startup,Central,Web,Product_04,20,73,1457,3,2026-04-12
880,SMB,North,Partner,Product_05,1,90,80,10,2026-04-13
881,Enterprise,South,Retail,Product_06,2,107,197,17,2026-04-14
882,MidMarket,East,Web,Product_07,3,124,348,24,2026-04-15
883,Startup,West,Partner,Product_08,4,141,563,1,2026-04-16
884,SMB,Central,Retail,Product_09,5,158,782,8,2026-04-17
885,Enterprise,North,Web,Product_10,6,175,1035,15,2026-04-18
886,MidMarket,South,Partner,Product_11,7,192,1322,22,2026-04-19
887,Startup,East,Retail,Product_12,8,209,1643,29,2026-04-20
888,SMB,West,Web,Product_01,9,226,2028,6,2026-04-21
889,Enterprise,Central,Partner,Product_02,10,243,2417,13,2026-04-22
890,MidMarket,North,Retail,Product_03,11,20,200,20,2026-04-23
891,Startup,South,Web,Product_04,12,37,417,27,2026-04-24
892,SMB,East,Partner,Product_05,13,54,698,4,2026-04-25
893,Enterprise,West,Retail,Product_06,14,71,983,11,2026-04-26
894,MidMarket,Central,Web,Product_07,15,88,1302,18,2026-04-27
895,Startup,North,Partner,Product_08,16,105,1655,25,2026-04-28
896,SMB,South,Retail,Product_09,17,122,2072,2,2026-04-01
897,Enterprise,East,Web,Product_10,18,139,2493,9,2026-04-02
898,MidMarket,West,Partner,Product_11,19,156,2948,16,2026-04-03
899,Startup,Central,Retail,Product_12,20,173,3437,23,2026-04-04
900,SMB,North,Web,Product_01,1,190,190,0,2026-04-05
901,Enterprise,South,Partner,Product_02,2,207,407,7,2026-04-06
902,MidMarket,East,Retail,Product_03,3,224,658,14,2026-04-07
903,Startup,West,Web,Product_04,4,241,943,21,2026-04-08
904,SMB,Central,Partner,Product_05,5,18,62,28,2026-04-09
905,Enterprise,North,Retail,Product_06,6,35,205,5,2026-04-10
906,MidMarket,South,Web,Product_07,7,52,352,12,2026-04-11
907,Startup,East,Partner,Product_08,8,69,533,19,2026-04-12
908,SMB,West,Retail,Product_09,9,86,748,26,2026-04-13
909,Enterprise,Central,Web,Product_10,10,103,1027,3,2026-04-14
910,MidMarket,North,Partner,Product_11,11,120,1310,10,2026-04-15
911,Startup,South,Retail,Product_12,12,137,1627,17,2026-04-16
912,SMB,East,Web,Product_01,13,154,1978,24,2026-04-17
913,Enterprise,West,Partner,Product_02,14,171,2393,1,2026-04-18
914,MidMarket,Central,Retail,Product_03,15,188,2812,8,2026-04-19
915,Startup,North,Web,Product_04,16,205,3265,15,2026-04-20
916,SMB,South,Partner,Product_05,17,222,3752,22,2026-04-21
917,Enterprise,East,Retail,Product_06,18,239,4273,29,2026-04-22
918,MidMarket,West,Web,Product_07,19,16,298,6,2026-04-23
919,Startup,Central,Partner,Product_08,20,33,647,13,2026-04-24
920,SMB,North,Retail,Product_09,1,50,30,20,2026-04-25
921,Enterprise,South,Web,Product_10,2,67,107,27,2026-04-26
922,MidMarket,East,Partner,Product_11,3,84,248,4,2026-04-27
923,Startup,West,Retail,Product_12,4,101,393,11,2026-04-28
924,SMB,Central,Web,Product_01,5,118,572,18,2026-04-01
925,Enterprise,North,Partner,Product_02,6,135,785,25,2026-04-02
926,MidMarket,South,Retail,Product_03,7,152,1062,2,2026-04-03
927,Startup,East,Web,Product_04,8,169,1343,9,2026-04-04
928,SMB,West,Partner,Product_05,9,186,1658,16,2026-04-05
929,Enterprise,Central,Retail,Product_06,10,203,2007,23,2026-04-06
930,MidMarket,North,Web,Product_07,11,220,2420,0,2026-04-07
931,Startup,South,Partner,Product_08,12,237,2837,7,2026-04-08
932,SMB,East,Retail,Product_09,13,14,168,14,2026-04-09
933,Enterprise,West,Web,Product_10,14,31,413,21,2026-04-10
934,MidMarket,Central,Partner,Product_11,15,48,692,28,2026-04-11
935,Startup,North,Retail,Product_12,16,65,1035,5,2026-04-12
936,SMB,South,Web,Product_01,17,82,1382,12,2026-04-13
937,Enterprise,East,Partner,Product_02,18,99,1763,19,2026-04-14
938,MidMarket,West,Retail,Product_03,19,116,2178,26,2026-04-15
939,Startup,Central,Web,Product_04,20,133,2657,3,2026-04-16
940,SMB,North,Partner,Product_05,1,150,140,10,2026-04-17
941,Enterprise,South,Retail,Product_06,2,167,317,17,2026-04-18
942,MidMarket,East,Web,Product_07,3,184,528,24,2026-04-19
943,Startup,West,Partner,Product_08,4,201,803,1,2026-04-20
944,SMB,Central,Retail,Product_09,5,218,1082,8,2026-04-21
945,Enterprise,North,Web,Product_10,6,235,1395,15,2026-04-22
946,MidMarket,South,Partner,Product_11,7,12,62,22,2026-04-23
947,Startup,East,Retail,Product_12,8,29,203,29,2026-04-24
948,SMB,West,Web,Product_01,9,46,408,6,2026-04-25
949,Enterprise,Central,Partner,Product_02,10,63,617,13,2026-04-26
950,MidMarket,North,Retail,Product_03,11,80,860,20,2026-04-27
951,Startup,South,Web,Product_04,12,97,1137,27,2026-04-28
952,SMB,East,Partner,Product_05,13,114,1478,4,2026-04-01
953,Enterprise,West,Retail,Product_06,14,131,1823,11,2026-04-02
954,MidMarket,Central,Web,Product_07,15,148,2202,18,2026-04-03
955,Startup,North,Partner,Product_08,16,165,2615,25,2026-04-04
956,SMB,South,Retail,Product_09,17,182,3092,2,2026-04-05
957,Enterprise,East,Web,Product_10,18,199,3573,9,2026-04-06
958,MidMarket,West,Partner,Product_11,19,216,4088,16,2026-04-07
959,Startup,Central,Retail,Product_12,20,233,4637,23,2026-04-08
960,SMB,North,Web,Product_01,1,10,10,0,2026-04-09
961,Enterprise,South,Partner,Product_02,2,27,47,7,2026-04-10
962,MidMarket,East,Retail,Product_03,3,44,118,14,2026-04-11
963,Startup,West,Web,Product_04,4,61,223,21,2026-04-12
964,SMB,Central,Partner,Product_05,5,78,362,28,2026-04-13
965,Enterprise,North,Retail,Product_06,6,95,565,5,2026-04-14
966,MidMarket,South,Web,Product_07,7,112,772,12,2026-04-15
967,Startup,East,Partner,Product_08,8,129,1013,19,2026-04-16
968,SMB,West,Retail,Product_09,9,146,1288,26,2026-04-17
969,Enterprise,Central,Web,Product_10,10,163,1627,3,2026-04-18
970,MidMarket,North,Partner,Product_11,11,180,1970,10,2026-04-19
971,Startup,South,Retail,Product_12,12,197,2347,17,2026-04-20
972,SMB,East,Web,Product_01,13,214,2758,24,2026-04-21
973,Enterprise,West,Partner,Product_02,14,231,3233,1,2026-04-22
974,MidMarket,Central,Retail,Product_03,15,248,3712,8,2026-04-23
975,Startup,North,Web,Product_04,16,25,385,15,2026-04-24
976,SMB,South,Partner,Product_05,17,42,692,22,2026-04-25
977,Enterprise,East,Retail,Product_06,18,59,1033,29,2026-04-26
978,MidMarket,West,Web,Product_07,19,76,1438,6,2026-04-27
979,Startup,Central,Partner,Product_08,20,93,1847,13,2026-04-28
980,SMB,North,Retail,Product_09,1,110,90,20,2026-04-01
981,Enterprise,South,Web,Product_10,2,127,227,27,2026-04-02
982,MidMarket,East,Partner,Product_11,3,144,428,4,2026-04-03
983,Startup,West,Retail,Product_12,4,161,633,11,2026-04-04
984,SMB,Central,Web,Product_01,5,178,872,18,2026-04-05
985,Enterprise,North,Partner,Product_02,6,195,1145,25,2026-04-06
986,MidMarket,South,Retail,Product_03,7,212,1482,2,2026-04-07
987,Startup,East,Web,Product_04,8,229,1823,9,2026-04-08
988,SMB,West,Partner,Product_05,9,246,2198,16,2026-04-09
989,Enterprise,Central,Retail,Product_06,10,23,207,23,2026-04-10
990,MidMarket,North,Web,Product_07,11,40,440,0,2026-04-11
991,Startup,South,Partner,Product_08,12,57,677,7,2026-04-12
992,SMB,East,Retail,Product_09,13,74,948,14,2026-04-13
993,Enterprise,West,Web,Product_10,14,91,1253,21,2026-04-14
994,MidMarket,Central,Partner,Product_11,15,108,1592,28,2026-04-15
995,Startup,North,Retail,Product_12,16,125,1995,5,2026-04-16
996,SMB,South,Web,Product_01,17,142,2402,12,2026-04-17
997,Enterprise,East,Partner,Product_02,18,159,2843,19,2026-04-18
998,MidMarket,West,Retail,Product_03,19,176,3318,26,2026-04-19
999,Startup,Central,Web,Product_04,20,193,3857,3,2026-04-20
1000,SMB,North,Partner,Product_05,1,210,200,10,2026-04-21
